43718,TO:0000269,100-grain weight (gm) - cultivated
43693,TO:0000140,Apiculus color at post-harvest
43694,TO:0000140,Apiculus color at reproductive
43695,TO:0000294,Auricle color at vegetative
43696,TO:0000141,Awn color
43766,TO:0000141,Awn color (Late observation)
43697,TO:0002734,Awn presence at reproductive
43700,TO:0000294,Basal leafsheath color at vegetative
43698,TO:0000299,Blade color at vegetative
43699,TO:0000055,Blade pubescence at vegetative
43701,TO:0000364,Collar color at vegetative - cultivated
43703,TO:0000427,Culm angle at reproductive
43704,TO:0020083,Culm diam. of basal internode at reproductive
43705,TO:0020083,Culm diameter (mm) of basal internode at repro.
43775,TO:0000071,Culm internode anthocyanin color
43707,TO:0000576,Culm length (cm) at reproductive
43706,TO:0000576,Culm length at reproductive
43776,TO:0000071,Culm node of anthocyanin color
43708,TO:0000027,Culm number (code) at reproductive - cultivated
43709,TO:0000027,Culm number (count) at reproductive - cultivated
43710,TO:0000051,Culm strength at reproductive - cultivated
43711,TO:0000933,Date at first flowering
43712,TO:0000934,Date when plants are 80% fully headed-cultivated
43767,TO:0000657,Distribution of awns
43714,TO:0000575,Endosperm type
43715,TO:0000124,Flag leaf angle at reproductive - cultivated
43773,TO:0002757,Flagleaf length
43774,TO:0002758,Flagleaf width
43717,TO:0000402,Grain Width(mm)
43716,TO:0000734,Grain length (mm)
43719,TO:0000344,Heading (days to 80% fully headed) - cultivated
43720,TO:0000426,Internode color at reproductive - cultivated
43721,TO:0000206,Leaf angle - cultivated
43769,TO:0000071,Leaf blade anthocyanin coloration
43768,TO:0000071,Leaf blade distribution of anthocyanin coloration
43725,TO:0000135,Leaf length (cm) - cultivated
43726,TO:0000135,Leaf length - cultivated