SEEDWGT,TO:0000269
DAYSFLOWER,TO:0000344
FLOGRDCOL,TO:0000537
FLOWERSPED,TO:0002736
HGTLOWPOD,TO:1000011
HYPOCOTCOL,TO:0000759
LODGING,TO:0000068
PODMAT,TO:0002633
PODPIG,TO:0002617
PODSHATTER,TO:0000930
SHATTERING,TO:0000930
PODSHED,TO:0002633
PODDROP,TO:0002633
PODSPED,TO:0000871
PODLENGTH,TO:0002626
PODWIDTH,TO:0002627
SEEDSPOD,TO:0000905
COTYLCOLOR,TO:0000980
SEEDGRDCOL,TO:0000190
SEEDPAT,TO:0000904
SEEDPATCOL,TO:0000904
SEEDSIZE,TO:0000391
SEEDPROD,TO:0000905
ANTHRAC,TO:0000439
PEMV,TO:0000148
PSBMV,TO:0000148
PLANTHABIT,TO:0002756
PLANT_HEIGHT,TO:0000207
PLANTSIZE,TO:1000012
PLANT_WIDTH,TO:0006062
PROTEIN,TO:0000490
MINERAL_CA,TO:0006047
MINERAL_CU,TO:0006052
MINERAL_FE,TO:0006049
MINERAL_MG,TO:0006044
MINERAL_MN,TO:0006048
MINERAL_P,TO:0006045
MINERAL_K,TO:0000513
MINERAL_S,TO:0006046
MINERAL_ZN,TO:0006053